STK_D_Code,STK_D_SWCode
300140,DQSB
300141,DQSB
300142,YYSW
300143,NLMY
300144,XXFW
300145,JXSB
300146,SPYL
300147,YYSW
300148,CM
300149,NLMY
300150,JSJ
300151,JXSB
300152,GYSY
300153,DQSB
300154,JXSB
300155,JSJ
300156,GYSY
300157,CJ
300158,YYSW
300159,JXSB
300160,JYDQ
300161,JXSB
300162,DZ
300163,HG
300164,CJ
300165,JXSB
300166,JSJ
300167,JSJ
300168,JSJ
300169,HG
300170,JSJ
300171,YYSW
300172,GYSY
300173,JXSB
300174,HG
300175,NLMY
300176,QC
300177,JSJ
300178,XXFW
300179,JXSB
300180,HG
300181,YYSW
300182,JSJ
300183,DZ
300184,DZ
300185,JXSB
300187,GYSY
300188,JSJ
300189,NLMY
300190,GYSY
300191,CJ
300192,HG
300193,JXSB
300194,YYSW
300195,JXSB
300196,HG
300197,JZZS
300198,JZCL
300199,YYSW
300200,HG
300201,JXSB
300202,JSJ
300203,GYSY
300204,YYSW
300205,TX
300206,YYSW
300207,DZ
300208,DQSB
300209,JSJ
300210,JXSB
300211,TX
300212,JSJ
300213,TX
300214,HG
300215,DQSB
300216,YYSW
300217,JYDQ
300218,HG
300219,DZ
300220,DZ
300221,HG
300222,DQSB
300223,DZ
300224,YSJS
300225,HG
300226,CM
300227,DZ
300228,JXSB
300229,JSJ
300230,HG
300231,JSJ
300232,DZ
300233,YYSW
300234,JZCL
300235,JSJ
300236,HG
300237,QC
300238,YYSW
300239,YYSW
300240,JTYS
300241,DZ
300242,CM
300243,HG
300244,YYSW
300245,JSJ
300246,YYSW
300247,JYDQ
300248,JSJ
300249,JYDQ
300250,TX
300251,CM
300252,TX
300253,JSJ
300254,YYSW
300255,YYSW
300256,DZ
300257,JXSB
300258,QC
300259,JXSB
300260,JXSB
300261,YYSW
300262,GYSY
300263,JXSB
300264,JSJ
300265,DQSB
300266,JXSB
300267,YYSW
300268,NLMY
300269,DZ
300270,JSJ
300271,JSJ
300272,JYDQ
300273,YYSW
300274,DQSB
300275,JXSB
300276,JXSB
300277,JSJ
300278,JXSB
300279,DZ
300280,JXSB
300281,JXSB
300282,DZ
300283,DQSB
300284,JZZS
300285,HG
300286,DQSB
300287,JSJ
300288,CM
300289,YYSW
300290,JSJ
300291,CM
300292,TX
300293,JXSB
300294,YYSW
300295,CM
300296,DZ
